id,created_at,closed_at,merged_at
8002141,2013-08-31T07:53:17Z,2013-08-31T09:44:15Z,2013-08-31T09:44:15Z
7999423,2013-08-30T23:17:23Z,2013-08-31T09:48:06Z,2013-08-31T09:48:06Z
7995484,2013-08-30T20:15:03Z,2013-08-31T02:41:13Z,2013-08-31T02:41:13Z
7985047,2013-08-30T13:59:17Z,2013-08-31T10:17:22Z,
7981832,2013-08-30T11:33:08Z,2013-08-30T17:44:25Z,2013-08-30T17:44:25Z
7979356,2013-08-30T09:30:29Z,2013-08-30T09:35:38Z,
7975906,2013-08-30T05:52:59Z,2013-08-30T05:57:38Z,2013-08-30T05:57:38Z
7966488,2013-08-29T20:37:33Z,2013-08-30T04:37:27Z,2013-08-30T04:37:27Z
7964250,2013-08-29T19:24:59Z,2013-08-30T00:33:00Z,
7943146,2013-08-29T05:16:43Z,2013-08-30T04:42:49Z,
7942904,2013-08-29T04:53:50Z,2013-08-29T04:56:46Z,
7941188,2013-08-29T02:18:29Z,2013-08-29T16:45:00Z,
7936009,2013-08-28T21:45:08Z,2013-08-29T12:57:11Z,2013-08-29T12:57:11Z
7933440,2013-08-28T20:24:45Z,2013-08-28T20:48:00Z,2013-08-28T20:48:00Z
7927977,2013-08-28T17:29:16Z,2013-08-28T20:03:33Z,2013-08-28T20:03:33Z
7913228,2013-08-28T08:24:03Z,2013-08-28T11:17:17Z,2013-08-28T11:17:17Z
7911791,2013-08-28T07:02:40Z,2013-08-28T09:02:09Z,
7906379,2013-08-27T23:50:10Z,2013-08-29T04:43:45Z,2013-08-29T04:43:45Z
7897808,2013-08-27T18:52:24Z,2013-08-27T21:03:29Z,2013-08-27T21:03:29Z
7894900,2013-08-27T17:20:18Z,2013-08-27T17:24:09Z,
7874493,2013-08-27T00:21:12Z,2013-08-27T00:46:57Z,2013-08-27T00:46:57Z
7873609,2013-08-26T23:32:34Z,2013-08-26T23:33:22Z,2013-08-26T23:33:22Z
7872586,2013-08-26T22:45:47Z,2013-08-26T23:11:46Z,2013-08-26T23:11:46Z
7872345,2013-08-26T22:36:29Z,2013-08-28T05:28:16Z,2013-08-28T05:28:16Z
7872028,2013-08-26T22:21:51Z,2013-08-26T22:27:13Z,2013-08-26T22:27:13Z
7871362,2013-08-26T21:54:30Z,2013-08-27T13:08:18Z,2013-08-27T13:08:18Z
7868718,2013-08-26T20:28:47Z,2013-08-27T14:04:35Z,2013-08-27T14:04:35Z
7864429,2013-08-26T18:08:21Z,2013-08-26T21:54:08Z,
7847923,2013-08-26T02:16:32Z,2013-08-26T02:37:20Z,
7847921,2013-08-26T02:16:29Z,2013-08-26T02:35:56Z,
7843518,2013-08-25T08:55:09Z,2013-08-26T18:49:10Z,2013-08-26T18:49:10Z
7842637,2013-08-25T03:36:26Z,2013-08-25T18:34:26Z,2013-08-25T18:34:26Z
7838256,2013-08-24T08:28:09Z,2013-08-25T18:32:26Z,2013-08-25T18:32:26Z
7838244,2013-08-24T08:25:16Z,2013-08-24T22:33:24Z,2013-08-24T22:33:24Z
7836977,2013-08-24T02:11:20Z,2013-08-26T02:31:42Z,2013-08-26T02:31:42Z
7825235,2013-08-23T16:35:27Z,2013-08-23T23:56:58Z,2013-08-23T23:56:58Z
7819663,2013-08-23T13:16:14Z,2013-08-26T17:06:29Z,2013-08-26T17:06:29Z
7818495,2013-08-23T12:19:34Z,2013-08-23T13:21:11Z,2013-08-23T13:21:11Z
7816091,2013-08-23T10:11:37Z,2013-08-23T11:26:03Z,2013-08-23T11:26:03Z
7810342,2013-08-23T03:08:11Z,2013-08-23T10:24:44Z,2013-08-23T10:24:44Z
7804714,2013-08-22T21:33:57Z,2013-08-26T22:08:31Z,2013-08-26T22:08:31Z
7802738,2013-08-22T20:33:48Z,2013-08-23T23:48:45Z,2013-08-23T23:48:45Z
