version,datetime
v3.2.14,2013-07-22T09:40:40-07:00
v3.2.14.rc2,2013-07-16T09:10:51-07:00
v3.2.14.rc1,2013-07-12T17:23:43-07:00
v4.0.0,2013-06-25T07:28:29-07:00
v4.0.0.rc2,2013-06-11T13:17:46-07:00
v4.0.0.rc1,2013-04-29T08:29:18-07:00
v2.3.18,2013-03-18T10:01:50-07:00
v3.2.13,2013-03-18T09:23:11-07:00
v3.1.12,2013-03-18T09:18:11-07:00
v3.2.13.rc2,2013-03-06T15:05:30-08:00
v3.2.13.rc1,2013-02-27T12:19:06-08:00
v4.0.0.beta1,2013-02-25T15:07:45-08:00
v2.3.17,2013-02-10T19:14:13-08:00
v3.1.11,2013-02-10T19:08:32-08:00
v3.2.12,2013-02-10T19:05:51-08:00
v3.0.20,2013-01-28T12:47:56-08:00
v2.3.16,2013-01-28T12:43:19-08:00
v2.3.15,2013-01-08T11:27:02-08:00
v3.0.19,2013-01-08T11:25:13-08:00
v3.1.10,2013-01-08T11:24:59-08:00
v3.2.11,2013-01-08T11:24:40-08:00
v3.0.18,2012-12-23T14:31:08-08:00
v3.1.9,2012-12-23T13:39:36-08:00
v3.2.10,2012-12-23T13:36:55-08:00
v3.2.9,2012-11-12T07:19:37-08:00
v3.2.9.rc3,2012-11-09T09:51:29-08:00
v3.2.9.rc2,2012-11-01T10:38:23-07:00
v3.2.9.rc1,2012-10-29T09:38:47-07:00
v3.0.17,2012-08-09T14:10:34-07:00
v3.1.8,2012-08-09T14:10:13-07:00
v3.2.8,2012-08-09T14:09:56-07:00
v3.2.8.rc2,2012-08-03T07:02:12-07:00
v3.2.8.rc1,2012-08-01T13:51:11-07:00
v3.0.16,2012-07-26T14:59:47-07:00
v3.1.7,2012-07-26T14:58:58-07:00
v3.2.7,2012-07-26T14:49:16-07:00
v3.2.7.rc1,2012-07-23T14:44:33-07:00
v3.0.15,2012-06-12T20:05:57-07:00
v3.0.14,2012-06-12T14:15:04-07:00
v3.1.6,2012-06-12T14:14:12-07:00
v3.2.6,2012-06-12T14:13:26-07:00
v3.2.5,2012-05-31T20:38:09-07:00
v3.0.13,2012-05-31T10:55:08-07:00
v3.1.5,2012-05-31T10:42:43-07:00
v3.2.4,2012-05-31T10:27:56-07:00
v3.2.4.rc1,2012-05-28T12:32:12-07:00
v3.1.5.rc1,2012-05-28T11:55:04-07:00
v3.0.13.rc1,2012-05-28T11:53:20-07:00
v3.2.3,2012-03-30T15:22:46-07:00
v3.2.3.rc2,2012-03-29T09:13:01-07:00
